rank,name,english_name,province,rating,educational_level
108,太原理工大学,Taiyuan University of Technology,山西,243.5,
109,河北工业大学,Hebei University of Technology,河北,241.0,
110,青岛大学,Qingdao University,山东,239.9,
111,大连海事大学,Dalian Maritime University,辽宁,238.5,
112,燕山大学,Yanshan University,河北,237.5,
113,东北林业大学,Northeast Forestry University,黑龙江,237.3,
114,西安建筑科技大学,Xi'an University of Architecture and Technology,陕西,236.9,
115,昆明理工大学,Kunming University of Science and Technology,云南,232.5,
116,内蒙古大学,Inner Mongolia University,内蒙古,231.7,
117,江西师范大学,Jiangxi Normal University,江西,230.8,
118,西安理工大学,Xi'an University of Technology,陕西,230.7,
119,上海师范大学,Shanghai Normal University,上海,230.0,
120,杭州师范大学,Hangzhou Normal University,浙江,227.7,
